nb,idsDico,nom,type,langue,general,licence,idsOeu,uti,nbConcept,nbPronom,nbSyntagme,nbDeterminant,nbNegation,nbConjugaison
39,4,gen français syntagmes,syntagmes,français,1,,"1,2,6,13,25,26,28,29,30,31,32,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",0,0,219,0,0,0
3120,14,gen français pronom,pronoms,français,1,,"1,2,6,12,13,25,26,28,29,30,31,32,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",0,78,0,0,0,0
41,16,gen français négation,négations,français,1,,"1,2,6,12,13,25,26,28,29,30,31,32,33,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",0,0,0,0,9,0
462126,34,gen français général,concepts,français,1,,"1,2,6,13,25,26,28,29,30,31,32,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",11003,0,256,0,0,0
180,38,gen anglais pronom,pronoms,anglais,1,,"1,12,33","jpb,samszo",0,60,0,0,0,0
3,39,gen anglais déterminants,déterminants,anglais,1,,"1,12,33","jpb,samszo",0,0,0,359,0,0
3,40,gen anglais conjugaisons,conjugaisons,anglais,1,,"1,12,33","jpb,samszo",0,0,0,0,0,74
3,41,gen anglais syntagme,syntagmes,anglais,1,,"1,12,33","jpb,samszo",0,0,216,0,0,0
21969,42,gen anglais général,concepts,anglais,1,,"1,12,33","jpb,samszo",7323,0,197,0,0,0
40,44,gen français conjugaison,conjugaisons,français,1,,"1,2,6,13,25,26,28,29,30,31,32,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",0,0,0,0,0,82
38,46,gen français déterminants,déterminants,français,1,,"1,2,6,13,25,26,28,29,30,31,32,36,37,38,39,40,41,42,43,44,47,48,49,50,51,52,53,54,56,57,65,66,67,68,69,70","jpb,samszo",0,0,0,400,0,0
1,67,gen espagnol conjugaisons,conjugaisons,espagnol,1,,NULL,NULL,0,0,0,0,0,74
1,68,gen espagnol syntagme,syntagmes,espagnol,1,,NULL,NULL,0,0,73,0,0,0
1,69,gen espagnol déterminant,déterminants,espagnol,1,,NULL,NULL,0,0,0,352,0,0
47,70,gen espagnol pronom,pronoms,espagnol,1,,NULL,NULL,0,47,0,0,0,0
7257,73,gen espagnol général,concepts,espagnol,1,,NULL,NULL,7257,0,213,0,0,0
92,82,capture critiques,concepts,français,0,,2,samszo,92,0,0,0,0,0
97,93,capture bios,concepts,français,0,,2,samszo,97,0,0,0,0,0
93,94,capture chansons,concepts,français,0,,2,samszo,93,0,0,0,0,0
98,96,capture twitter,concepts,français,0,,NULL,NULL,98,0,0,0,0,0
67,99,théâtre,concepts,français,0,,2,samszo,67,0,0,0,0,0
103,101,vies,concepts,français,0,,NULL,NULL,103,0,0,0,0,0
14,102,Proverbes web,concepts,français,0,,6,NULL,14,0,2,0,0,0
1,109,test,concepts,français,0,by_sa,14,samszo,0,0,0,0,0,0
53,110,mon dico,concepts,français,0,by,NULL,NULL,53,0,0,0,0,0
1,111,monostiches,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
126,112,DS_Monostiches,concepts,français,0,by,26,"jpb,samszo",63,0,0,0,0,0
1,114,mon dictionnaire,concepts,français,0,by,28,samszo,1,0,0,0,0,0
50,115,mon mono,concepts,français,0,by,NULL,NULL,50,0,0,0,0,0
1,116,fredv,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
51,117,mon dico,concepts,français,0,by,29,samszo,51,0,0,0,0,0
34,118,DS_Climats,concepts,français,0,by,"6,3","jpb,samszo",17,0,0,0,0,0
1,119,mon dico,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
12,120,mon dico,concepts,français,0,by,25,samszo,12,0,0,0,0,0
1,121,DS-Corneille,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
11,122,DS-Corneille,concepts,français,0,by,31,jpb,11,0,0,0,0,0
38,123,DS_Tests-Ressources,concepts,français,0,by,32,jpb,38,0,0,0,0,0
46,124,DS-Herbier,concepts,anglais,0,by,33,jpb,46,0,0,0,0,0
9,127,Eric,concepts,français,0,by,36,NULL,9,0,0,0,0,0
1,128,test herbier sam,concepts,anglais,0,by,33,samszo,1,0,0,0,0,0
127,129,DS-Poétiques,concepts,français,0,by,37,jpb,127,0,0,0,0,0
149,130,DS-Trajectoires,concepts,français,0,by,38,jpb,149,0,0,0,0,0
8,131,tests samszo,concepts,français,0,by,NULL,NULL,8,0,0,0,0,0
4,132,DS_bavard,concepts,français,0,by,39,jpb,4,0,0,0,0,0
7715,133,dico gen import,concepts,français,0,by,NULL,NULL,7715,0,0,0,0,0
12,134,concert,concepts,français,0,by,2,jpb,12,0,0,0,0,0
53,135,DS_ORACLE,concepts,français,0,by,40,NULL,53,0,0,0,0,0
1,136,test samszo,concepts,français,0,by,NULL,NULL,1,0,0,0,0,0
81,137,DS_carolingiens,concepts,français,0,by,41,jpb,81,0,26,0,0,0
42,138,DS_ORACLE2,concepts,français,0,by,40,NULL,42,0,0,0,0,0
2,139,Animaux,concepts,français,0,by,NULL,NULL,2,0,0,0,0,0
43,140,DS-Animaux,concepts,français,0,by,42,jpb,43,0,3,0,0,0
36,141,DS_EspritHumain,concepts,français,0,by,43,jpb,36,0,0,0,0,0
2,142,Lozère,concepts,français,0,by,44,jpb,2,0,0,0,0,0
1,143,DS_HerbierFrançais,concepts,français,0,by,45,jpb,0,0,0,0,0,0
135,144,DS_HerbierFrançais,concepts,français,0,by,47,jpb,135,0,0,0,0,0
41,145,DS-BarbeBleue,concepts,français,0,by,49,jpb,41,0,0,0,0,0
31,146,DS_Faust,concepts,français,0,by,50,jpb,31,0,0,0,0,0
33,147,DS_RomanInachevé,concepts,français,0,by,51,jpb,33,0,0,0,0,0
299,148,DS_MondIcertain,concepts,français,0,by,52,jpb,299,0,1,0,0,0
76,149,samszo,concepts,français,0,by,53,samszo,76,0,0,0,0,0
8,150,JBousquet,concepts,français,0,by,54,jpb,8,0,0,0,0,0
1,151,K_gen,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
1,152,K_gen,concepts,français,0,by,NULL,NULL,0,0,0,0,0,0
1,153,DSK-gen,concepts,français,0,by,NULL,NULL,1,0,0,0,0,0
39,154,DSKGen,concepts,français,0,by,NULL,NULL,39,0,0,0,0,0
2,155,DS_K-gen,concepts,français,0,by,56,NULL,2,0,0,0,0,0
1,156,K,concepts,français,0,by,56,NULL,0,0,0,0,0,0
1,162,bidule,concepts,français,0,CC0,65,NULL,0,0,0,0,0,0
4,163,bidule,concepts,français,0,CC0,66,NULL,4,0,0,0,0,0
